"regnames","temperature","relative_risk"
"York&Hum",12.2,1.06420456074695
"York&Hum",12.3,1.06259550381957
"York&Hum",12.4,1.06097218456767
"York&Hum",12.5,1.05933467582814
"York&Hum",12.6,1.05768305099536
"York&Hum",12.7,1.0560173840157
"York&Hum",12.8,1.05433774938201
"York&Hum",12.9,1.05264422212811
"York&Hum",13,1.05093687782316
"York&Hum",13.1,1.04921579256609
"York&Hum",13.2,1.04748104297991
"York&Hum",13.3,1.04573270620608
"York&Hum",13.4,1.04397085989878
"York&Hum",13.5,1.04219558221916
"York&Hum",13.6,1.04040695182959
"York&Hum",13.7,1.03860504788785
"York&Hum",13.8,1.03678995004131
"York&Hum",13.9,1.03496173842105
"York&Hum",14,1.033120493636
"York&Hum",14.1,1.03128714325691
"York&Hum",14.2,1.02950365311983
"York&Hum",14.3,1.02777097334461
"York&Hum",14.4,1.02608885762518
"York&Hum",14.5,1.02445706710283
"York&Hum",14.6,1.02287537030972
"York&Hum",14.7,1.02134354311415
"York&Hum",14.8,1.01986136866763
"York&Hum",14.9,1.01842863735377
"York&Hum",15,1.01704514673878
"York&Hum",15.1,1.0157107015239
"York&Hum",15.2,1.0144251134994
"York&Hum",15.3,1.01318820150033
"York&Hum",15.4,1.01199979136402
"York&Hum",15.5,1.01085971588918
"York&Hum",15.6,1.00976781479668
"York&Hum",15.7,1.00872393469204
"York&Hum",15.8,1.00772792902946
"York&Hum",15.9,1.00677965807758
"York&Hum",16,1.00587898888678
"York&Hum",16.1,1.00502579525811
"York&Hum",16.2,1.00421995771386
"York&Hum",16.3,1.00346136346963
"York&Hum",16.4,1.00274990640801
"York&Hum",16.5,1.00208548705391
"York&Hum",16.6,1.00146801255131
"York&Hum",16.7,1.00090016592783
"York&Hum",16.8,1.00044027083996
"York&Hum",16.9,1.00011159982312
"York&Hum",17,0.999914023659009
"York&Hum",17.1,0.99984746468342
"York&Hum",17.2,0.999911896735323
"York&Hum",17.3,1.00010734513974
"York&Hum",17.4,1.00043388672433
"York&Hum",17.5,1.00089164986974
"York&Hum",17.6,1.00148081459369
"York&Hum",17.7,1.00220161266902
"York&Hum",17.8,1.00305432777564
"York&Hum",17.9,1.00403929568657
"York&Hum",18,1.00515690448838
"York&Hum",18.1,1.00640759483601
"York&Hum",18.2,1.00779186024238
"York&Hum",18.3,1.00931024740291
"York&Hum",18.4,1.01096335655545
"York&Hum",18.5,1.01275184187572
"York&Hum",18.6,1.01467641190877
"York&Hum",18.7,1.01673783003686
"York&Hum",18.8,1.01893691498412
"York&Hum",18.9,1.02127454135848
"York&Hum",19,1.0237516402314
"York&Hum",19.1,1.02636919975596
"York&Hum",19.2,1.0291282658238
"York&Hum",19.3,1.03202994276156
"York&Hum",19.4,1.03507539406754
"York&Hum",19.5,1.03826584318915
"York&Hum",19.6,1.04160257434195
"York&Hum",19.7,1.04508693337101
"York&Hum",19.8,1.04872032865551
"York&Hum",19.9,1.05250423205719
"York&Hum",20,1.05644017991384
"York&Hum",20.1,1.06052977407853
"York&Hum",20.2,1.06477468300568
"York&Hum",20.3,1.06917664288502
"York&Hum",20.4,1.0737374588244
"York&Hum",20.5,1.07845900608273
"York&Hum",20.6,1.08334323135407
"York&Hum",20.7,1.08839215410429
